transmitter,species,site,day,month,year,sampling_ID,size_CCC_cm,size_LCC_cm,weight_kg
A69-1604-64056,chelonia_mydas,forno,24,january,2024,1,37.9,33.4,7.38
A69-1604-64057,chelonia_mydas,forno,24,january,2024,2,33.8,30.1,5.25
A69-1604-64058,chelonia_mydas,forno,1,february,2024,1,36.7,35,5.56
A69-1604-64059,chelonia_mydas,forno,1,february,2024,2,32.6,30,4.54
A69-1604-64060,chelonia_mydas,forno,1,february,2024,3,46.7,44,11.56
A69-1604-64061,chelonia_mydas,forno,1,february,2024,4,41.6,37,9.58
A69-1602-3979,chelonia_mydas,forno,6,march,2024,1,36.5,34.5,4.1
A69-1602-3985,chelonia_mydas,forno,6,march,2024,2,41.4,38.5,10.35
A69-1602-3980,chelonia_mydas,forno,6,march,2024,3,35.9,34.1,5.3
A69-1602-3986,chelonia_mydas,forno,6,march,2024,4,49.3,45.3,14.21
A69-1602-3972,chelonia_mydas,anjos,20,february,2024,1,34.4,29.5,4.56
A69-1602-3967,chelonia_mydas,anjos,20,february,2024,2,44.1,40.7,11.15
A69-1602-3970,chelonia_mydas,anjos,20,february,2024,3,39.6,33.6,7.93
A69-1602-3983,chelonia_mydas,anjos,20,february,2024,4,50.4,45.9,16.7
A69-1602-3963,chelonia_mydas,anjos,20,february,2024,5,45.2,39,15.5
A69-1602-,chelonia_mydas,anjos,16,april,2024,1,,,
A69-1602-,chelonia_mydas,anjos,16,april,2024,2,,,
A69-1602-,eretmochelys_imbricata,anjos,16,april,2024,3,,,
