transmitter,species,site,day,month,year,total_length_cm
A69-1604-33854,acanthurus_chirurgus,forno,24,january,2024,26
A69-1604-33852,acanthurus_chirurgus,forno,24,january,2024,28
A69-1604-33851,acanthurus_chirurgus,forno,24,january,2024,30
A69-1604-33853,acanthurus_chirurgus,forno,24,january,2024,28
A69-1604-33849,acanthurus_chirurgus,forno,24,january,2024,31
A69-1604-33850,acanthurus_chirurgus,forno,24,january,2024,23
A69-1604-33841,acanthurus_chirurgus,forno,24,january,2024,33
A69-1604-33846,acanthurus_chirurgus,forno,1,february,2024,26
A69-1604-33842,acanthurus_chirurgus,forno,1,february,2024,29
A69-1604-33847,acanthurus_chirurgus,forno,1,february,2024,26.5
A69-1604-33843,acanthurus_chirurgus,forno,1,february,2024,27
A69-1604-33845,acanthurus_chirurgus,forno,1,february,2024,26
A69-1604-33833,acanthurus_chirurgus,forno,1,february,2024,27
A69-1604-33848,acanthurus_chirurgus,forno,1,february,2024,25
A69-1604-33844,acanthurus_chirurgus,forno,1,february,2024,27
A69-1604-33840,acanthurus_chirurgus,forno,9,april,2024,25
A69-1604-33832,acanthurus_chirurgus,forno,9,april,2024,27.5
A69-1604-33836,acanthurus_chirurgus,forno,22,april,2024,24
A69-1604-33828,acanthurus_chirurgus,forno,22,april,2024,23
A69-1604-33835,acanthurus_chirurgus,fortaleza,22,april,2024,22.5
A69-1604-33834,acanthurus_chirurgus,cardeiros,22,april,2024,30
A69-1604-33839,acanthurus_chirurgus,cardeiros,22,april,2024,27
A69-1604-33827,acanthurus_chirurgus,cardeiros,22,april,2024,24.5
A69-1604-33826,acanthurus_chirurgus,cardeiros,22,april,2024,26
A69-1604-33825,acanthurus_chirurgus,cardeiros,22,april,2024,23
